"","portname","code","latitude","longitude","iso3"
"1","Watsi-Genge",NA,-0.9456,20.62966,"COD"
"2","Charlotte (Skidegate)","CASKI",53.24742,-132.00969,"CAN"
"3","Homer","USHOI",59.60159,-151.41553,NA
"4","Hartsdale","USHAS",40.7061,-74.0021,NA
"5","Killingholme","GBKGH",53.64561,-0.21512,NA
"6","Shoreham","GBSHO",50.83232,-0.26934,"GBR"
"7","Southend","GBSND",51.53415,0.7155,"GBR"
"8","Santa Fe","ARSFN",-31.65014,-60.69712,"ARG"
"9","Punta De Palmas","VEPLV",10.4409,-71.63472,"VEN"
"10","Moin Bay","CRMOB",10.00433,-83.07669,"CRI"
"11","Canaport","CACPT",45.2085,-65.98286,"CAN"
"12","Winslow","USWSE",47.62285,-122.51324,"USA"
"13","West Foreland","USWFO",60.7133,-151.71198,NA
"14","Redwood City","USRWC",37.5132,-122.20405,"USA"
"15","Shawano","USSWS",29.24043,-89.3605,"USA"
"16","Mars","USXJB",29.50305,-91.8058,"USA"
"17","Sullom Voe","GBSUL",60.45831,-1.29003,"GBR"
"18","Salina","ITSLA",38.5593,14.87226,NA
"19","Eleusis","GREEU",38.04274,23.51074,"GRC"
"20","Syros (Syra)","GRJSY",37.43767,24.94032,"GRC"
"21","Cebu",NA,10.62832,124.40972,"PHL"
"22","Coco Grove Nature Resort",NA,10.61768,124.2838,"PHL"
"23","Pointe Des Galets","REPDG",-20.93108,55.31133,"REU"
"24","Sulina (Port Et Zone Franche)","ROSUL",45.15849,29.66218,"ROU"
"25","Damman","SADMN",26.48684,50.19733,"SAU"
"26","Tijuana","MXTIJ",32.50821,-117.12305,NA
"27","Jose Ignacio Terminal","UYJIT",-34.84588,-54.63312,"URY"
"28","Khark Island","IRKHK",29.21619,50.33049,"IRN"
"29","Bandar Mahshahr","IRMRX",30.46914,49.17771,"IRN"
"30","Porto Foxi (Sarroch)","ITPFX",39.09045,9.01368,"ITA"
"31","Rharous",NA,16.88259,-1.92331,"MLI"
"32","Ambohitsara",NA,-20.86592,48.46241,"MDG"
"33","Pomala","IDPUM",-4.1828,121.59489,"IDN"
"34","Telok Ayer","IDTKA",-0.76919,109.57272,"IDN"
"35","Lifake",NA,1.06498,22.1408,"COD"
"36","Escravos","NGESC",5.61173,5.20625,"NGA"
"37","My Tho","VNMUT",10.34402,106.3285,"VNM"
"38","Yafala",NA,-1.37229,22.11768,"COD"
"39","Gutthom",NA,6.48444,31.33383,"SSD"
"40","Vum",NA,-3.82254,18.92355,"COD"
"41","Isokolokoto",NA,0.46143,20.97019,"COD"
"42","Koko","NGKOK",5.99881,5.45875,"NGA"
"43","Pugwash","CAPUG",45.84869,-63.66423,"CAN"
"44","Liege (Luik)","BELGG",50.65459,5.6324,"BEL"
"45","Naha","JPNAH",26.2447,127.69245,"JPN"
"46","Cossack Pioneer",NA,-20.6756,116.69787,"AUS"
"47","Des Plaines","USDES",29.93482,-90.36439,"USA"
"48","Oakham Ness","GBOAK",51.42122,0.6342,"GBR"
"49","Hunterston","GBHST",55.74505,-4.86915,"GBR"
"50","Faslane","GBFAS",56.06673,-4.81973,"GBR"
"51","Palma Mallorca","ESPMI",39.56616,2.6445,"ESP"
"52","Moji","JPMOJ",33.95201,130.96633,"JPN"
"53","Sendai",NA,38.27451,141.00557,"JPN"
"54","Port Of Aqtau (Aktau)",NA,43.60967,51.22023,"KAZ"
"55","Bassein","MMBSX",16.78112,94.73082,"MMR"
"56","La Palma","PAPLP",8.40629,-78.14191,"PAN"
"57","Lajes","PTLAJ",39.37902,-31.1711,"PRT"
"58","Mesaieed","QAUMS",24.91738,51.56731,"QAT"
"59","Punta Colorada","ARPCO",-41.69762,-65.03439,"ARG"
"60","South Riding Point","BSSRP",26.62642,-78.23165,"BHS"
"61","Woodlands","SGWDL",1.45201,103.77974,NA
"62","Aioi","JPAIO",34.78907,134.46388,"JPN"
"63","Mukho","KRMUK",37.55231,129.11646,"KOR"
"64","Arman","RUARM",59.54024,150.77662,"RUS"
"65","Tuxpan","MXTUX",20.94442,-97.39383,"MEX"
"66","Puerto Miranda / Maracaibo L.","VEMIV",10.76144,-71.5519,NA
"67","La Salina / Maracaibo L","VELSV",10.37679,-71.4548,NA
"68","Moulmein","MMMNU",16.49322,97.6175,NA
"69","Sidi Kerir","EGSKT",31.05359,29.67018,NA
"70","Stignaesvaerkets Havn","DKSTG",55.20852,11.25443,"DNK"
"71","Inkoo","FIINK",60.04148,24.00623,"FIN"
"72","Crooked Island","BSCRI",22.75116,-74.18962,"BHS"
"73","Barahona","DOBRX",18.21611,-71.08721,"DOM"
"74","Bandar Abbas","IRBND",27.14681,56.20611,"IRN"
"75","Forno","BRFNO",-22.96957,-42.01826,"BRA"
"76","Kalecik","CYKAL",35.32798,33.99319,"CYP"
"77","El Iskandariya","EGALY",31.16936,29.86204,NA
"78","Ras Shukheir","EGRSH",28.13602,33.27519,"EGY"
"79","Lingah","IRLIN",26.55452,54.89053,NA
"80","Basrah","IQBSR",30.51164,47.84923,"IRQ"
"81","Hibiki","JPHBK",33.93027,130.77865,"JPN"
"82","Yawata","JPYWT",33.88705,130.78127,"JPN"
"83","Juaymah Terminal","SAJUT",26.79268,50.01443,"SAU"
"84","Tembladora","TTTEM",10.67923,-61.56864,"TTO"
"85","Haydarpasa","TRHAY",41.00242,29.01452,NA
"86","Foca","TRFOC",38.66761,26.7521,NA
"87","St Thomas Island","VISTT",18.33887,-64.93865,"VIR"
"88","Barcadera","AWBAR",12.48094,-69.99846,"ABW"
"89","Bullen Bay","ANBUB",12.19427,-69.0259,"ANT"
"90","Zayed","AEMZD",24.51602,54.37681,"ARE"
"91","Barbuda","AGBBQ",17.64144,-61.82788,"ATG"
"92","Jiangyin","CNJIA",31.92039,120.17442,"CHN"
"93","Sittwe","MMAKY",20.14001,92.90128,"MMR"
"94","Pointe A La Hache","USPHC",29.57611,-89.79325,"USA"
"95","Port Of Semey",NA,50.43993,80.20868,"KAZ"
"96","Antwerp",NA,51.24332,4.4174,"BEL"
"97","Navarino","GRNAV",36.91472,21.69516,"GRC"
"98","Port Of Atyrau",NA,47.07208,51.86886,"KAZ"
"99","Malingu",NA,-5.87762,16.58492,"COD"
"100","Bolafa",NA,1.53925,22.1123,"COD"
"101","Malta (Valetta)","MTMLA",35.89425,14.51314,"MLT"
"102","N'Gi",NA,-4.41232,17.15382,"COD"
"103","Za'Farana",NA,29.11107,32.66471,"EGY"
"104","Saleologa",NA,-13.74475,-172.21695,"WSM"
"105","Lilo",NA,-0.61864,25.4275,"COD"
"106","Bangu",NA,-0.24726,19.18075,"COD"
"107","Aola Bay","SBAOB",-9.53525,160.49173,NA
"108","Walton","CAWTN",45.23111,-64.00853,"CAN"
"109","Northville (Riverhead)","USNVR",40.91828,-72.65551,"USA"
"110","Felton",NA,20.72725,-75.6073,"CUB"
"111","Tanamo","CUTAN",20.67864,-75.33573,"CUB"
"112","Fraser Mills","CAFRM",49.19981,-122.91238,"CAN"
"113","Berville","FRBEV",49.43485,0.3606,"FRA"
"114","Bagotville","CABGT",48.34383,-70.87961,"CAN"
"115","Norsworthy","USNSW",29.74113,-95.1928,"USA"
"116","Hamaroy","NOHMY",68.08477,15.63392,"NOR"
"117","Melilli","ITMEL",37.10968,15.25179,"ITA"
"118","Studstrupvaerkets Havn","DKSSV",56.24891,10.34783,"DNK"
"119","Bugo",NA,8.50849,124.75312,NA
"120","Nowy Port","PLNOW",54.40853,18.65782,"POL"
"121","Thira","GRJTR",36.3861,25.43119,"GRC"
"122","Mutsuogawara",NA,40.96875,141.38524,"JPN"
"123","Ras Laffan",NA,25.91414,51.59255,NA
"124","Shortland Harbour","SBSHH",-7.08892,155.86379,NA
"125","Hera fishing port",NA,-8.53445,125.68134,"TLS"
"126","Thi Nai",NA,13.7813,109.22867,"VNM"
"127","Ras Zubbaya","AEDUY",24.32187,54.133,"ARE"
"128","New Holland","GBNHO",53.70469,-0.36337,"GBR"
"129","Djerba","TNDJE",33.88626,10.85775,"TUN"
"130","Talca","CLTLX",-36.7283,-73.10178,"CHL"
"131","Kuantan","MYKUA",3.97809,103.42386,"MYS"
"132","Kerteh Terminal","MYKET",4.58999,103.45553,"MYS"
"133","Mokpo","KRMOK",34.78086,126.38245,"KOR"
"134","Port Kelang","MYPKG",3.02802,101.36368,"MYS"
"135","Guaranao Bay","VEGUB",11.66943,-70.21381,"VEN"
"136","Henjam","IRHEJ",26.68227,55.89432,NA
"137","Okayama","JPOKJ",34.604,133.9644,"JPN"
"138","Tianjinxingang","CNTXG",39.08764,117.23743,"CHN"
"139","Fao","IQFAO",29.97458,48.483,"IRQ"
"140","Acapulco","MXACA",16.84868,-99.90401,"MEX"
"141","Banten","IDCIG",-6.01375,105.95816,"IDN"
"142","Ain Sukhna","EGAIS",29.6541,32.34742,"EGY"
"143","Rothesay","GBRAY",55.83818,-5.05427,"GBR"
"144","Port Huron","USPHN",42.9712,-82.42034,"USA"
"145","Patterson","USPAN",48.12044,-123.43221,NA
"146","Stanlow","GBSOW",53.28606,-2.83623,"GBR"
"147","Porvoo","FIPRV",60.38291,25.67178,"FIN"
"148","Misumi","JPMIS",32.60706,130.47129,"JPN"
"149","Oshima","JPOSM",34.74983,139.3575,"JPN"
"150","Nagoya","JPNGO",35.07877,136.86533,"JPN"
"151","Dhuba","SADHU",26.25249,36.44388,"SAU"
"152","La Pampilla","PELPP",-11.95655,-77.13473,"PER"
"153","Providenciales","TCPLS",21.81422,-72.14035,"TCA"
"154","Trinidad","BOTDD",10.65208,-61.51813,"TTO"
